,Cores,Data Width,Includes CPU Cooler,Integrated Graphics,L1 Cache,L2 Cache,L3 Cache,Lithography,Manufacturer,Maximum Supported Memory,Model,Operating Frequency,Part Number,Simultaneous Multithreading,Simultaneous Multithreading Detail,Socket,Thermal Design Power,Turbo Frequency
13,4,64-bit,False,Intel HD Graphics 530,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,Core i7-6700,3.4 GHz,CM8066201920103,True,Hyper-Threading,LGA1151,65 W,4 GHz
14,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,Xeon E3-1270 V5,3.6 GHz,BX80662E31270V5,True,Hyper-Threading,LGA1151,80 W,4 GHz
15,4,64-bit,True,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-3470,3.2 GHz,BX80637i53470,False,,LGA1155,77 W,
16,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Pentium G2120,3.1 GHz,BX80637G2120,False,,LGA1155,55 W,
17,8,64-bit,False,False,"8 x 64 kB Instruction, 8 x 32 kB Data",8 x 512 kB,1 x 16 MB,14 nm,AMD,1 TB,,3.8 GHz,YD190XA8AEWOF,True,,TR4,180 W,4 GHz
18,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,14 nm,Intel,,,3 GHz,BX80671I76950X,True,Hyper-Threading,LGA2011-3,140 W,3.5 GHz
19,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3.8 GHz,BX80677I57600K,False,,LGA1151,91 W,4.2 GHz
20,4,64-bit,True,Intel HD Graphics P630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.3 GHz,BX80677E31225V6,False,,LGA1151,73 W,3.7 GHz
21,4,64-bit,True,Intel UHD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3.6 GHz,BX80684I38100,False,,LGA1151,65 W,
22,4,64-bit,True,Intel HD Graphics 4600,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-4670,3.4 GHz,BX80646I54670,False,,LGA1150,84 W,
23,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,Xeon E3-1220 V5,3 GHz,BX80662E31220V5,False,,LGA1151,80 W,3.5 GHz
24,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,14 nm,Intel,1.5 TB,Xeon E5-2609 V4,1.7 GHz,BX80660E52609V4,False,,LGA2011-3,85 W,
25,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22 nm,Intel,,Xeon E5-2690 V3,2.6 GHz,BX80644E52690V3,True,Hyper-Threading,LGA2011-3,135 W,3.5 GHz
26,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32 nm,Intel,,Xeon E5-2630,2.3 GHz,CM8062101038801,True,Hyper-Threading,LGA2011,95 W,
27,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32 nm,Intel,,Xeon E5-2680,2.7 GHz,BX80621E52680,True,Hyper-Threading,LGA2011,130 W,3.5 GHz
28,2,64-bit,True,Intel UHD Graphics 630,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14 nm,Intel,64 GB,Intel Pentium Gold G5600 Coffee Lake Dual-Core 3.9 GHz LGA 1151 (300 Series) 54W BX80684G5600 Desktop Processor Intel UHD Graphics 630,3.9 GHz,BX80684G5600,True,Hyper-Threading,LGA1151,54 W,
29,2,64-bit,True,Radeon Vega 3,"2 x 64 kB Instruction, 2 x 32 kB Data",2 x 512 kB,1 x 4 MB,14 nm,AMD,64 GB,,3.5 GHz,YD240GC6FBBOX,True,,AM4,35 W,
30,12,64-bit,False,False,"12 x 64 kB Instruction, 12 x 32 kB Data",12 x 512 kB,4 x 8 MB,12 nm,AMD,1 TB,,3.5 GHz,YD292XA8AFWOF,True,,TR4,180 W,4.3 GHz
31,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22 nm,Intel,,Xeon E5-2620 V3,2.4 GHz,BX80644E52620V3,True,Hyper-Threading,LGA2011-3,85 W,3.2 GHz
32,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 1 MB,None,45 nm,Intel,,Celeron E3300,2.5 GHz,BX80571E3300,False,,LGA775,65 W,
33,12,64-bit,False,False,"12 x 64 kB Instruction, 12 x 32 kB Data",12 x 512 kB,1 x 32 MB,14 nm,AMD,1 TB,,3.5 GHz,YD192XA8AEWOF,True,,TR4,180 W,4 GHz
34,4,64-bit,False,Intel HD Graphics 530,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,Core i5-6500,3.2 GHz,CM8066201920404,False,,LGA1151,65 W,3.6 GHz
35,8,64-bit,True,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-8370E,3.3 GHz,FD837EWMHKBOX,False,,AM3+,95 W,4.3 GHz
36,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22 nm,Intel,64 GB,Core i7-5960X,3 GHz,BX80648I75960X,True,Hyper-Threading,LGA2011-3,140 W,3.5 GHz
37,2,64-bit,True,Intel HD Graphics 2500,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Core i3-3220T,2.8 GHz,BX80637i33220T,True,Hyper-Threading,LGA1155,35 W,
38,18,64-bit,False,False,"18 x 32 kB Instruction, 18 x 32 kB Data",18 x 256 kB,1 x 45 MB,22 nm,Intel,,Xeon E5-2699 V3,2.3 GHz,CM8064401739300,True,Hyper-Threading,LGA2011-3,145 W,3.6 GHz
39,2,64-bit,True,Intel HD Graphics 2000,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32 nm,Intel,,Core i3-2120T,2.6 GHz,BX80623I32120T,True,Hyper-Threading,LGA1155,35 W,
40,4,64-bit,True,Radeon R7 (on-die),"2 x 96 kB Instruction, 4 x 32 kB Data",2 x 1 MB,None,28 nm,AMD,,,3.1 GHz,AD9600AGABBOX,False,,AM4,65 W,3.4 GHz
41,32,64-bit,False,False,"32 x 64 kB Instruction, 32 x 32 kB Data",32 x 512 kB,8 x 8 MB,12 nm,AMD,1 TB,,3 GHz,YD299XAZAFWOF,True,,TR4,250 W,4.2 GHz
42,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14 nm,Intel,64 GB,,2.4 GHz,CM8068403358413,True,Hyper-Threading,LGA1151,35 W,4 GHz
43,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32 nm,Intel,,Pentium G870,3.1 GHz,BX80623G870,False,,LGA1155,65 W,
44,8,64-bit,False,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,2 x 8 MB,32 nm,AMD,,Opteron 6320,2.8 GHz,OS6320WKT8GHK,False,,G34,115 W,3.3 GHz
45,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Duo E6850,3 GHz,BX80557E6850,False,,LGA775,65 W,
46,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-930,2.8 GHz,BX80601930,True,Hyper-Threading,LGA1366,130 W,
47,4,64-bit,False,Intel HD Graphics 530,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,,Core i5-6600K,3.5 GHz,BX80662I56600K,False,,LGA1151,91 W,3.9 GHz
48,4,64-bit,True,Intel UHD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.7 GHz,BX80684I38300,False,,LGA1151,62 W,
49,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.8 GHz,CM8067702870648,True,Hyper-Threading,LGA1151,72 W,4.2 GHz
50,4,64-bit,True,Radeon Vega 8,"4 x 64 kB Instruction, 4 x 32 kB Data",4 x 512 kB,1 x 4 MB,14 nm,AMD,,,3.5 GHz,YD2200C5FBBOX,False,,AM4,65 W,3.7 GHz
51,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32 nm,Intel,,Intel Xeon E5-2660 Sandy Bridge-EP 2.2GHz (3GHz Turbo Boost) LGA 2011 95W CM8062107184801 Server Processor,2.2 GHz,CM8062107184801,True,Hyper-Threading,LGA2011,95 W,3 GHz
52,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-920,2.66 GHz,BX80601920,True,Hyper-Threading,LGA1366,130 W,
53,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Duo E6320,1.86 GHz,BX80557E6320,False,,LGA775,65 W,
54,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,8 x 2 MB,14 nm,Intel,64 GB,,3.6 GHz,BX80684I99900KF,True,Hyper-Threading,LGA1151,95 W,5 GHz
55,4,64-bit,False,False,"4 x 64 kB Instruction, 4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45 nm,AMD,,Phenom II X4 830,2.8 GHz,HDX830WFK4DGM,False,,AM3,95 W,
56,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32 nm,Intel,,Xeon E5-2650,2 GHz,BX80621E52650,True,Hyper-Threading,LGA2011,95 W,2.8 GHz
57,4,64-bit,True,False,"4 x 64 kB Instruction, 4 x 64 kB Data",4 x 512 kB,None,45 nm,AMD,,Athlon II X4 640,3 GHz,ADX640WFGMBOX,False,,AM3,95 W,
58,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 10 MB,22 nm,Intel,,Xeon E5-1620 V3,3.5 GHz,BX80644E51620V3,True,Hyper-Threading,LGA2011-3,140 W,3.6 GHz
59,2,64-bit,True,Intel UHD Graphics 630,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14 nm,Intel,64 GB,Intel Pentium Gold G5500 Coffee Lake Dual-Core 3.8 GHz LGA 1151 (300 Series) 54W BX80684G5500 Desktop Processor Intel UHD Graphics 630,3.8 GHz,BX80684G5500,True,Hyper-Threading,LGA1151,54 W,
60,2,64-bit,True,Intel UHD Graphics 610,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14 nm,Intel,64 GB,Intel Celeron G4900 Coffee Lake Dual-Core 3.1 GHz LGA 1151 (300 Series) 54W BX80684G4900 Desktop Processor Intel UHD Graphics 610,3.1 GHz,BX80684G4900,False,,LGA1151,65 W,
61,2,64-bit,True,Intel HD Graphics 610,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14 nm,Intel,64 GB,,3.5 GHz,BX80677G4560,True,Hyper-Threading,LGA1151,54 W,
62,6,64-bit,True,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14 nm,Intel,64 GB,,3.2 GHz,BX80684I78700,True,Hyper-Threading,LGA1151,65 W,4.6 GHz
63,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.5 GHz,BX80677E31230V6,True,Hyper-Threading,LGA1151,72 W,3.9 GHz
64,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i5-760,2.8 GHz,BX80605I5760,False,,LGA1156,95 W,
65,4,64-bit,False,False,"4 x 64 kB Instruction, 4 x 64 kB Data",4 x 512 kB,None,45 nm,AMD,,Athlon II X4 630,2.8 GHz,ADX630WFK42GM,False,,AM3,95 W,
66,4,64-bit,False,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,,3.1 GHz,CM8063701093901,False,,LGA1155,65 W,3.8 GHz
67,16,64-bit,False,False,"16 x 32 kB Instruction, 16 x 32 kB Data",16 x 1 MB,1 x 22 MB,14 nm,Intel,128 GB,,2.8 GHz,BX80673I97960X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
68,2,64-bit,True,Intel HD Graphics 630,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14 nm,Intel,64 GB,,3.5 GHz,BX80677I37300T,True,Hyper-Threading,LGA1151,35 W,
69,2,64-bit,True,False,"2 x 64 kB Instruction, 2 x 64 kB Data",2 x 512 kB,1 x 6 MB,45 nm,AMD,,Phenom II X2 555 Black,3.2 GHz,HDZ555WFGMBOX,False,,AM3,80 W,
70,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,22 nm,Intel,,Core i7-4930K,3.4 GHz,BX80633I74930K,True,Hyper-Threading,LGA2011,130 W,3.9 GHz
71,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-860,2.8 GHz,BX80605I7860,True,Hyper-Threading,LGA1156,95 W,
72,2,64-bit,True,Intel HD Graphics 3000,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32 nm,Intel,,Core i3-2125,3.3 GHz,BX80623I32125,True,Hyper-Threading,LGA1155,65 W,
73,4,64-bit,True,Intel HD Graphics 4000,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22 nm,Intel,,Core i7-3770,3.4 GHz,BX80637I73770,True,Hyper-Threading,LGA1155,77 W,
74,2,64-bit,True,Intel HD Graphics 510,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14 nm,Intel,64 GB,Celeron G3900,2.8 GHz,BX80662G3900,False,,LGA1151,51 W,
75,2,64-bit,False,Intel HD Graphics 4600,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,22 nm,Intel,,,3.7 GHz,CM8064601482461,True,Hyper-Threading,LGA1150,54 W,
76,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Pentium G2140,3.3 GHz,BX80637G2140,False,,LGA1155,55 W,
77,8,64-bit,False,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-8350,4 GHz,FD8350FRW8KHK,False,,AM3+,125 W,
78,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",14 x 1 MB,1 x 19.25 MB,14 nm,Intel,128 GB,Intel Core i9-9940X Skylake X 14-Core 3.3 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99940X Desktop Processor,3.3 GHz,BX80673I99940X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
79,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 4 MB,None,65 nm,Intel,,Core 2 Extreme QX6850,3 GHz,BX80562QX6850,False,,LGA775,130 W,
80,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 2 MB,None,45 nm,Intel,,Pentium E6600,3.06 GHz,BX80571E6600,False,,LGA775,65 W,
81,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14 nm,Intel,64 GB,,3.7 GHz,CM8068403358220,True,Hyper-Threading,LGA1151,95 W,4.7 GHz
82,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 1 MB,None,65 nm,Intel,,Pentium E2160,1.8 GHz,BX80557E2160,False,,LGA775,65 W,
83,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,14 nm,Intel,1.5 TB,Xeon E5-2630 V4,2.2 GHz,BX80660E52630V4,True,Hyper-Threading,LGA2011-3,85 W,3.1 GHz
84,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,14 nm,Intel,128 GB,,3.2 GHz,BX80671I76900K,True,Hyper-Threading,LGA2011-3,140 W,3.7 GHz
85,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32 nm,Intel,,Pentium G860,3 GHz,BX80623G860,False,,LGA1155,65 W,
86,4,64-bit,False,Intel HD Graphics 530,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,Core i7-6700K,4 GHz,CM8066201919901,True,Hyper-Threading,LGA1151,91 W,4.2 GHz
87,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 15 MB,22 nm,Intel,,Xeon E5-2637 V3,3.5 GHz,CM8064401724101,True,Hyper-Threading,LGA2011-3,135 W,3.7 GHz
88,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 6 MB,None,45 nm,Intel,,Core 2 Duo E8400,3 GHz,BX80570E8400,False,,LGA775,65 W,
89,2,64-bit,True,Intel HD Graphics 4400,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Core i3-4130T,2.9 GHz,BX80646I34130T,True,Hyper-Threading,LGA1150,35 W,
90,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32 nm,Intel,,Xeon E5-2687W,3.1 GHz,BX80621E52687W,True,Hyper-Threading,LGA2011,150 W,3.8 GHz
91,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,32 nm,Intel,,Core i5-2380P,3.1 GHz,BX80623i52380P,False,,LGA1155,95 W,
92,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32 nm,Intel,,Pentium G630T,2.3 GHz,BX80623G630T,False,,LGA1155,35 W,
93,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,4.2 GHz,CM8067702868535,True,Hyper-Threading,LGA1151,91 W,4.5 GHz
94,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22 nm,Intel,,Xeon E5-2650 V2,2.6 GHz,BX80635E52650V2,True,Hyper-Threading,LGA2011,95 W,3.4 GHz
95,2,64-bit,True,Intel HD Graphics 630,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14 nm,Intel,64 GB,,3.6 GHz,BX80677G4600,True,Hyper-Threading,LGA1151,51 W,
96,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",14 x 256 kB,1 x 35 MB,22 nm,Intel,,Xeon E5-2695 V3,2.3 GHz,BX80644E52695V3,True,Hyper-Threading,LGA2011-3,120 W,3.3 GHz
97,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32 nm,Intel,,Xeon E5-2665,2.4 GHz,BX80621E52665,True,Hyper-Threading,LGA2011,115 W,3.1 GHz
98,1,64-bit,True,Intel HD Graphics,"1 x 32 kB Instruction, 1 x 32 kB Data",1 x 256 kB,1 x 1 MB,32 nm,Intel,,Celeron G440,1.6 GHz,BX80623G440,False,,LGA1155,35 W,
99,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,14 nm,Intel,1.5 TB,Xeon E5-2603 V4,1.7 GHz,BX80660E52603V4,False,,LGA2011-3,85 W,
100,2,64-bit,True,Intel UHD Graphics 610,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14 nm,Intel,64 GB,Pentium Gold G5400,3.7 GHz,BX80684G5400,True,Hyper-Threading,LGA1151,58 W,
101,4,64-bit,True,Intel HD Graphics 4600,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-4570S,2.9 GHz,BX80646I54570S,False,,LGA1150,65 W,
102,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",14 x 256 kB,1 x 35 MB,22 nm,Intel,,Xeon E5-2695 V3,2.3 GHz,CM8064401438110,True,Hyper-Threading,LGA2011-3,120 W,3.3 GHz
103,8,64-bit,True,False,"8 x 64 kB Instruction, 8 x 32 kB Data",8 x 512 kB,1 x 16 MB,12 nm,AMD,64 GB,,3.2 GHz,YD2700BBAFBOX,True,,AM4,65 W,4.1 GHz
104,2,64-bit,False,Intel HD Graphics 530,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14 nm,Intel,64 GB,Core i3-6100,3.7 GHz,CM8066201927202,True,Hyper-Threading,LGA1151,51 W,
105,2,64-bit,False,Intel HD Graphics 510,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14 nm,Intel,64 GB,Intel Celeron Processor G3920 CM8066201938000 OEM/TRAY,2.6 GHz,CM8066201938000,False,,LGA1151,35 W,
106,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,32 nm,Intel,,Core i3-550,3.2 GHz,BX80616I3550,True,Hyper-Threading,LGA1156,73 W,
107,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Duo E6550,2.33 GHz,BX80557E6550,False,,LGA775,65 W,
108,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32 nm,Intel,,Intel Xeon E5-2620 2 GHz LGA 2011 / Socket R 3600 MHz Desktop CPU SR0KW,2 GHz,SR0KW,True,Hyper-Threading,LGA2011,95 W,
109,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,4 GHz,BX80684I39350KF,False,,LGA1151,91 W,4.6 GHz
110,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-950,3.06 GHz,BX80601950,True,Hyper-Threading,LGA1366,130 W,
111,2,64-bit,True,Intel HD Graphics 4000,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Core i3-3225,3.3 GHz,BX80637I33225,True,Hyper-Threading,LGA1155,55 W,
112,2,64-bit,True,Intel HD Graphics 510,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14 nm,Intel,64 GB,Pentium G4400,3.3 GHz,BX80662G4400,False,,LGA1151,54 W,
113,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22 nm,Intel,,Xeon E5-2640 V2,2 GHz,BX80635E52640V2,True,Hyper-Threading,LGA2011,95 W,2.5 GHz
114,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 4 MB,None,65 nm,Intel,,Core 2 Extreme QX6700,2.66 GHz,BX80562QX6700,False,,LGA775,100 W,
115,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22 nm,Intel,,Xeon E5-2685 V3,2.6 GHz,CM8064401684201,True,Hyper-Threading,LGA2011-3,120 W,3.3 GHz
116,2,64-bit,False,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 3 MB,None,45 nm,Intel,,Core 2 Duo E7600,3.06 GHz,AT80571PH0833ML,False,,LGA775,65 W,
117,2,64-bit,False,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Duo E6320,1.86 GHz,HH80557PH0364M,False,,LGA775,65 W,
118,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,4 GHz,BX80677I57640X,False,,LGA2066,112 W,4.2 GHz
119,8,64-bit,False,Intel UHD Graphics 630,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,8 x 1.5 MB,14 nm,Intel,64 GB,,3.6 GHz,BX80684I79700K,False,,LGA1151,95 W,4.9 GHz
120,4,64-bit,True,Intel HD Graphics 4000,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22 nm,Intel,,Core i7-3770K,3.5 GHz,BX80637I73770K,True,Hyper-Threading,LGA1155,77 W,
121,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",14 x 256 kB,1 x 35 MB,14 nm,Intel,1.5 TB,Xeon E5-2690 V4,2.6 GHz,BX80660E52690V4,True,Hyper-Threading,LGA2011-3,135 W,3.5 GHz
122,4,64-bit,False,Intel UHD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,4 GHz,CM8068403376809,False,,LGA1151,91 W,
123,18,64-bit,False,False,"18 x 32 kB Instruction, 18 x 32 kB Data",18 x 1 MB,1 x 24 MB,14 nm,Intel,128 GB,,2.6 GHz,BX80673I97980X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
124,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 256 kB,1 x 30 MB,14 nm,Intel,1.5 TB,Xeon E5-2650 V4,2.2 GHz,BX80660E52650V4,True,Hyper-Threading,LGA2011-3,105 W,2.9 GHz
125,4,64-bit,False,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,,3.4 GHz,CM8063701093103,False,,LGA1155,77 W,
126,8,64-bit,False,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,2 x 8 MB,32 nm,AMD,,Opteron 6320,2.8 GHz,OS6320WKT8GHKWOF,False,,G34,115 W,3.3 GHz
